head,URL,Cuisines,PhoneNumber,AverageCost
Paradise Biryani,https://www.zomato.com/bangalore/paradise-biryani-hsr-bangalore,"Biryani, North Indian, Kebab",9.19E+11,700
Hyderabad Biryaani House,https://www.zomato.com/bangalore/hyderabad-biryaani-house-airport-road,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",9.20E+11,500
Anand Sweets And Savouries,https://www.zomato.com/bangalore/anand-sweets-and-savouries-airport-road-bangalore,"Mithai, Street Food, Desserts, Beverages",9.18E+11,300
Subway,https://www.zomato.com/bangalore/subway-indiranagar,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",9.18E+11,400
Sri Udupi Food Hub,https://www.zomato.com/bangalore/sri-udupi-food-hub-domlur-bangalore,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages",9.20E+11,800
Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-indiranagar-bangalore,"Desserts, Ice Cream, Beverages",9.20E+11,300
Behrouz Biryani,https://www.zomato.com/bangalore/behrouz-biryani-indiranagar-bangalore,"Biryani, Mughlai",9.18E+11,350
MOJO Pizza - 2X Toppings,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-indiranagar-bangalore,"Pizza, Fast Food, Desserts, Beverages",9.18E+11,250
EatFit,https://www.zomato.com/bangalore/eatfit-indiranagar-bangalore,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages",9.20E+11,200
Amma's Pastries,https://www.zomato.com/bangalore/ammas-pastries-indiranagar,Bakery,9.20E+11,100
Sharief Bhai,https://www.zomato.com/bangalore/sharief-bhai-indiranagar-bangalore,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages",9.19E+11,800
Beijing Bites,https://www.zomato.com/bangalore/beijing-bites-indiranagar-bangalore,"Chinese, Thai, Seafood, Healthy Food",9.18E+11,800
Imperial Restaurant,https://www.zomato.com/bangalore/imperial-restaurant-indiranagar,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",9.18E+11,700
WOW! Momo,https://www.zomato.com/bangalore/wow-momo-indiranagar-bangalore,"Momos, Fast Food, Tibetan",9.19E+11,200
Al Daaz,https://www.zomato.com/bangalore/al-daaz-hsr,"North Indian, Continental, BBQ, Fast Food, Beverages",9.18E+11,800
New Udupi Grand,https://www.zomato.com/bangalore/new-udupi-grand-jeevan-bhima-nagar-bangalore,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",9.18E+11,300
Anjappar,https://www.zomato.com/bangalore/anjappar-indiranagar,"Chettinad, Biryani, Chinese, Seafood, South Indian, Mughlai, North Indian, Desserts",9.18E+11,800
Barbeque Nation,https://www.zomato.com/bangalore/barbeque-nation-indiranagar,"BBQ, Mughlai, Biryani, North Indian, Desserts, Beverages",9.18E+11,1600
Faasos - Wraps & Rolls,https://www.zomato.com/bangalore/faasos-wraps-rolls-indiranagar-bangalore,"North Indian, Desserts, Wraps, Beverages",9.18E+11,200
Kwality Wallâ€™s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-2-indiranagar-bangalore,Ice Cream,9.20E+11,100
CakeZone,https://www.zomato.com/cakeszone,"Bakery, Desserts",9.17E+11,300
Hari Super Sandwich,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore,"Fast Food, Sandwich, Street Food",9.20E+11,200
Kapoor's Cafe,https://www.zomato.com/bangalore/kapoors-cafe-kalyan-nagar,"North Indian, Beverages, Desserts",9.19E+11,700
Sardarji Londonwaley,https://www.zomato.com/bangalore/sardarji-londonwaley-thippasandra-bangalore,"North Indian, Chinese",9.19E+11,150
La Pino'z Pizza,https://www.zomato.com/bangalore/la-pinoz-pizza-indiranagar-bangalore,"Pizza, Fast Food",9.18E+11,500
Potful - Claypot Biryanis,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages",9.18E+11,300
Lassi Shop,https://www.zomato.com/bangalore/lassi-shop-jeevan-bhima-nagar,"Fast Food, Ice Cream, Desserts, Shake, Beverages",9.17E+11,100
California Burrito,https://www.zomato.com/bangalore/california-burrito-indiranagar,"Mexican, Fast Food, Beverages, Desserts",9.18E+11,500
Paratha Envy,https://www.zomato.com/bangalore/paratha-envy-thippasandra-bangalore,North Indian,9.18E+11,150
Glen's Bakehouse,https://www.zomato.com/bangalore/glens-bakehouse-indiranagar,"Bakery, Italian, Pizza, Sandwich, Street Food, Desserts, Beverages",9.18E+11,400
Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-kammanahalli-bangalore,"Biryani, South Indian",9.20E+11,150
NIC - Natural Ice Creams,https://www.zomato.com/bangalore/nic-natural-ice-creams-indiranagar-bangalore,Ice Cream,9.19E+11,100
Royal Restaurant,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar,"North Indian, Chinese",9.18E+11,200
New Krishna Sagar,https://www.zomato.com/bangalore/new-krishna-sagar-indiranagar,"South Indian, North Indian, Chinese, Beverages",9.20E+11,350
Ambur Star Briyani Since 1890,https://www.zomato.com/bangalore/ambur-star-briyani-since-1890-indiranagar-bangalore,"Biryani, Andhra, Chinese, Beverages",9.18E+11,700
Call Me Chow,https://www.zomato.com/bangalore/call-me-chow-kalyan-nagar-bangalore,"Chinese, Japanese, Thai, Indonesian, Asian",9.18E+11,200
Andhra Biryanis,https://www.zomato.com/bangalore/andhra-biryanis-indiranagar-bangalore,"Biryani, Andhra, Chinese, North Indian",9.18E+11,250
Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-indiranagar-bangalore,"North Indian, Rajasthani, Fast Food, Street Food, Mithai, Beverages",9.19E+11,100
Ludos Pizza,https://www.zomato.com/bangalore/ludos-pizza-indiranagar-bangalore,"Pizza, Desserts",9.18E+11,200
WarmOven Cake & Desserts,https://www.zomato.com/bangalore/warmoven-cake-desserts-indiranagar-bangalore,"Bakery, Desserts",9.18E+11,350
LunchBox - Meals and Thalis,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-indiranagar-bangalore,"North Indian, Healthy Food, Beverages, Chinese",9.17E+11,200
Goli Vada Pav,https://www.zomato.com/bangalore/goli-vada-pav-thippasandra-bangalore,"Street Food, Fast Food, Burger, Ice Cream, Desserts",9.20E+11,350
Meat And Eat,https://www.zomato.com/bangalore/meat-and-eat-domlur,"Burger, Fast Food, Desserts, Beverages, BBQ, Sandwich, Finger Food",9.20E+11,400
Adiga's,https://www.zomato.com/bangalore/adigas-indiranagar-bangalore,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages",9.18E+11,800
Rahhams,https://www.zomato.com/bangalore/rahhams-airport-road,"Biryani, Mughlai, North Indian, Kebab, Chinese, Seafood, Rolls, Beverages",9.18E+11,700
Great Indian Khichdi,https://www.zomato.com/bangalore/great-indian-khichdi-indiranagar-bangalore,"Healthy Food, Beverages",9.18E+11,150
Ambur Biryani Point,https://www.zomato.com/bangalore/ambur-biryani-point-koramangala-1st-block,"Biryani, Fast Food",9.20E+11,200
The Punjabi Rasoi,https://www.zomato.com/bangalore/the-punjabi-rasoi-brookefield-bangalore,"North Indian, Chinese, Mughlai",9.18E+11,150
Smoor,https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore,"Desserts, Cafe, Pizza, Asian, Thai, Italian, Beverages, Shake",9.18E+11,900
Krispy Kreme,https://www.zomato.com/bangalore/krispy-kreme-indiranagar,"Desserts, Beverages",9.20E+11,400
Savoury Express,https://www.zomato.com/bangalore/savoury-express-jeevan-bhima-nagar-bangalore,"Mughlai, North Indian, Fast Food, Chinese, Desserts, Beverages, Shake",9.18E+11,800
Pathaan Sir,https://www.zomato.com/bangalore/pathaan-sir-1-indiranagar,"Fast Food, Momos, Rolls, Kebab, Juices",9.18E+11,300
Biryani By Kilo,https://www.zomato.com/bangalore/biryani-by-kilo-koramangala-6th-block-bangalore,"Biryani, Mughlai, Kebab, Hyderabadi",9.20E+11,700
Thalaivars Biryani,https://www.zomato.com/bangalore/thalaivars-biryani-indiranagar-bangalore,"Biryani, South Indian",9.18E+11,250
Big Bowl Company,https://www.zomato.com/bangalore/big-bowl-company-indiranagar-bangalore,"North Indian, Chinese, Biryani, Fast Food, Momos",9.18E+11,200
Shanthi Sagar,https://www.zomato.com/bangalore/shanthi-sagar-ulsoor,"South Indian, North Indian, Chinese, Beverages, Desserts, Shake",9.18E+11,250
New Udupi Garden,https://www.zomato.com/bangalore/new-udupi-garden-airport-road-bangalore,"South Indian, North Indian, Beverages, Chinese",9.19E+11,350
Cakewala,https://www.zomato.com/bangalore/cakewala-hsr-bangalore,"Bakery, Desserts",9.18E+11,100
Baskin Robbins,https://www.zomato.com/bangalore/baskin-robbins-indiranagar-bangalore,"Ice Cream, Desserts, Beverages",9.20E+11,400
Chulha Chauki Da Dhaba,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-marathahalli-bangalore,"North Indian, Biryani, Chinese, Beverages",9.17E+11,1000
Asha Sweet Center,https://www.zomato.com/bangalore/asha-sweet-center-indiranagar-bangalore,"Mithai, Street Food",9.19E+11,400
Chai Point,https://www.zomato.com/bangalore/chai-point-5-indiranagar-bangalore,"Tea, North Indian, Fast Food, Street Food, Beverages",9.20E+11,400
