head,URL,Cuisines,PhoneNumber,AverageCost
Masha Allah Restaurant,https://www.zomato.com/bangalore/masha-allah-restaurant-varthur-main-road-whitefield-bangalore,"Biryani, Chinese, South Indian",9.19E+11,400
New Rotti Mane,https://www.zomato.com/bangalore/new-rotti-mane-thippasandra-bangalore,South Indian,9.17E+11,50
The Higher Taste ,https://www.zomato.com/bangalore/the-higher-taste-marathahalli-bangalore,"North Indian, Fast Food, Street Food, Desserts, Beverages, Pizza, Sandwich",9.20E+11,100
Chianti,https://www.zomato.com/bangalore/chianti-bellandur-bangalore,"Italian, Pasta, Pizza, Salad, Desserts",9.20E+11,2000
Esplanade,https://www.zomato.com/bangalore/esplanade-indiranagar,"Bengali, Mughlai, Seafood",9.18E+11,1000
Cake Studio,https://www.zomato.com/bangalore/cake-studio-bellandur-bangalore,Bakery,9.18E+11,150
Baker's Home Cakes & Desserts,https://www.zomato.com/bangalore/bakers-home-cakes-desserts-marathahalli-bangalore,"Bakery, Beverages",9.17E+11,400
Wowffles,https://www.zomato.com/bangalore/wowffles-marathahalli-bangalore,"Desserts, Waffle",9.19E+11,150
Chefkraft,https://www.zomato.com/bangalore/chefkraft-1-indiranagar,"Salad, Continental, Healthy Food, Asian, Desserts",9.18E+11,300
Sri Krishna Sagar,https://www.zomato.com/bangalore/sri-krishna-sagar-3-marathahalli-bangalore,"South Indian, Chinese, Juices, Shake",9.20E+11,250
Artinci - Indulge Guilt Free!,https://www.zomato.com/bangalore/artinci-indulge-guilt-free-3-whitefield-bangalore,"Ice Cream, Desserts, Beverages",9.19E+11,150
Breezy Cow Bar,https://www.zomato.com/bangalore/breezy-cow-bar-kaggadasapura-bangalore,"Beverages, Ice Cream, Shake",9.20E+11,200
Odians,https://www.zomato.com/bangalore/odians-marathahalli-bangalore,"North Indian, Chinese, Odia",9.16E+11,500
Sri Dakshin Haveli Veg & Non Veg Restaurant,https://www.zomato.com/bangalore/sri-dakshin-haveli-veg-non-veg-restaurant-marathahalli-bangalore,"Mughlai, North Indian, Biryani, Kebab, Chinese",9.20E+11,500
Roti Curry & Co,https://www.zomato.com/bangalore/roti-curry-co-thippasandra-bangalore,"North Indian, Desserts",9.20E+11,300
Biryani Trip,https://www.zomato.com/bangalore/biryani-trip-1-marathahalli-bangalore,Biryani,9.18E+11,250
Snacks Corner,https://www.zomato.com/bangalore/snacks-corner-jeevan-bhima-nagar-bangalore,"Chinese, North Indian, Rolls, Momos, Fast Food",9.18E+11,150
Sri Hari Khadya Bhandar,https://www.zomato.com/bangalore/sri-hari-khadya-bhandar-marathahalli-bangalore,North Indian,9.20E+11,250
Motichur Sweets,https://www.zomato.com/bangalore/motichur-sweets-varthur-main-road-whitefield-bangalore,"Mithai, Street Food",9.18E+11,100
Cakebee,https://www.zomato.com/bangalore/cakebee-kr-puram-bangalore,"Bakery, Desserts",9.20E+11,150
Eating Love,https://www.zomato.com/bangalore/eating-love-sarjapur-road,"Italian, Desserts",9.20E+11,700
Santushti,https://www.zomato.com/bangalore/santushti-marathahalli-bangalore,"North Indian, Street Food, Beverages",9.19E+11,300
DH Biryani House Family Restaurant,https://www.zomato.com/bangalore/dh-biryani-house-family-restaurant-marathahalli-bangalore,"North Indian, Chinese, Biryani, Kebab",9.18E+11,300
Vegan Kitchen - By Infinitea,https://www.zomato.com/bangalore/vegan-kitchen-by-infinitea-indiranagar-bangalore,"Italian, Mexican, Healthy Food",9.18E+11,350
Table For Tous,https://www.zomato.com/TableForTous,"Bakery, Ice Cream, Desserts",9.18E+11,300
Sabzi Aur Roti,https://www.zomato.com/bangalore/sabzi-aur-roti-whitefield-bangalore,North Indian,9.18E+11,200
The Kenko Life,https://www.zomato.com/bangalore/the-kenko-life-jeevan-bhima-nagar-bangalore,Healthy Food,9.19E+11,300
Abhiruchi Andhra Mess,https://www.zomato.com/bangalore/abhiruchi-andhra-mess-marathahalli-bangalore,"Andhra, Biryani, South Indian",9.18E+11,300
Sri Ganesh Fruit Juice Centre,https://www.zomato.com/bangalore/sri-ganesh-fruit-juice-centre-thippasandra,"Juices, Beverages, Shake",9.19E+11,100
Refresh,https://www.zomato.com/bangalore/refresh-whitefield,"Fast Food, Chinese, Ice Cream, Beverages",9.18E+11,400
Palki Restaurant,https://www.zomato.com/bangalore/palki-restaurant-airport-road,"North Indian, Chinese, Mughlai, Seafood, Biryani, Beverages",9.20E+11,600
Paratha Plaza,https://www.zomato.com/bangalore/paratha-plaza-kaggadasapura-bangalore,"North Indian, Chinese, Beverages",9.17E+11,400
Shaan-e-Punjab,https://www.zomato.com/bangalore/shaan-e-punjab-jeevan-bhima-nagar-bangalore,"Mughlai, North Indian",9.18E+11,250
For Food Lovers,https://www.zomato.com/bangalore/for-food-lovers-bellandur-bangalore,"South Indian, North Indian, Chinese, Kerala, Beverages",9.20E+11,400
Lassi Ghar,https://www.zomato.com/bangalore/lassi-ghar-brookefield-bangalore,"Fast Food, Ice Cream, Desserts, Beverages, Shake",9.20E+11,200
Taste Indies,https://www.zomato.com/bangalore/taste-indies-sarjapur-road-bangalore,"Street Food, Desserts, North Indian",9.17E+11,200
Momo Monk,https://www.zomato.com/bangalore/momo-monk-1-marathahalli-bangalore,"Momos, Desserts",9.18E+11,150
Buffalo Wild Wings,https://www.zomato.com/bangalore/buffalo-wild-wings-indiranagar-bangalore,"American, Mexican, Healthy Food, Finger Food, Burger, Fast Food, Desserts",9.16E+11,1600
One Bites,https://www.zomato.com/bangalore/one-bites-whitefield-bangalore,"Fast Food, Burger, Desserts, Beverages",9.20E+11,500
Aahar Cafe,https://www.zomato.com/bangalore/aahar-cafe-kaggadasapura-bangalore,"North Indian, Fast Food, Chinese",9.20E+11,350
The Dessert Corner,https://www.zomato.com/bangalore/the-dessert-corner-kaggadasapura-bangalore,"Waffle, Desserts",9.18E+11,150
Punjabi Park Restaurant,https://www.zomato.com/bangalore/punjabi-park-restaurant-kr-puram-bangalore,"North Indian, Chinese",9.19E+11,400
Cafe Terra,https://www.zomato.com/bangalore/cafe-terra-indiranagar,"Fast Food, Pizza, Continental, Desserts, Shake",9.18E+11,500
Neemantran,https://www.zomato.com/bangalore/neemantran-bellandur-bangalore,"North Indian, South Indian, Biryani, Chinese",9.16E+11,450
Gourmet Ice Cream Cakes By Baskin Robbins,https://www.zomato.com/bangalore/gourmet-ice-cream-cakes-by-baskin-robbins-brookefield-bangalore,"Bakery, Desserts, Ice Cream",9.19E+11,150
Shyam Delicious Momos,https://www.zomato.com/bangalore/shyam-delicious-momos-thippasandra-bangalore,"Fast Food, Momos",9.19E+11,100
Prowl Foods By Tiger Shroff,https://www.zomato.com/bangalore/prowl-foods-by-tiger-shroff-marathahalli-bangalore,"Healthy Food, Sandwich, Rolls, Continental, Asian",9.19E+11,350
Edesia By Freshmenu,https://www.zomato.com/bangalore/edesia-by-freshmenu-kadubeesanahalli-bangalore,"Bakery, Desserts",9.18E+11,100
Divyasree Andhra Style Hotel,https://www.zomato.com/bangalore/divyasree-andhra-style-hotel-cv-raman-nagar-bangalore,Andhra,9.19E+11,250
Chandni Chowk,https://www.zomato.com/bangalore/chandni-chowk-marathahalli-bangalore,"Street Food, North Indian, Mithai",9.20E+11,150
Delhi Highway,https://www.zomato.com/bangalore/delhi-highway-indiranagar,"North Indian, Chinese, Street Food, Desserts, Beverages",9.18E+11,1500
Andhra Spice Hub,https://www.zomato.com/bangalore/andhra-spice-hub-brookefield-bangalore,"Andhra, Biryani",9.18E+11,700
Chaishala-Chuski Chaiwali,https://www.zomato.com/bangalore/chaishala-chuski-chaiwali-whitefield-bangalore,"Fast Food, Ice Cream, Beverages",9.18E+11,300
Jessore Local,https://www.zomato.com/bangalore/jessore-local-kaggadasapura-bangalore,Bengali,9.18E+11,200
Madurai Kari Dosa,https://www.zomato.com/bangalore/madurai-kari-dosa-1-indiranagar-bangalore,"Andhra, South Indian, Beverages, North Indian",9.19E+11,500
Mystique Palate Kundalahalli,https://www.zomato.com/bangalore/mystique-palate-kundalahalli-brookefield-bangalore,"Chinese, Tibetan, Fast Food, Italian",9.18E+11,550
Magic Momos,https://www.zomato.com/bangalore/magic-momos-whitefield-bangalore,"Chinese, Momos",9.20E+11,150
Chai Corner,https://www.zomato.com/bangalore/chai-corner-jeevan-bhima-nagar-bangalore,"Tea, Fast Food",9.18E+11,150
The Tandoori Oven,https://www.zomato.com/bangalore/the-tandoori-oven-brookefield-bangalore,"Chinese, North Indian",9.19E+11,100
Kilo Paradise Biriyani,https://www.zomato.com/bangalore/kilo-paradise-biriyani-marathahalli-bangalore,"Biryani, Mughlai",9.19E+11,250
Ambur Hot Dum Biryani,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-bellandur-bangalore,"North Indian, Chinese",9.17E+11,100
Kudla Craves,https://www.zomato.com/bangalore/kudla-craves-thippasandra-bangalore,"Desserts, Ice Cream, Beverages, Shake",9.17E+11,400
Chef's Cap,https://www.zomato.com/bangalore/chefs-cap-1-airport-road-bangalore,Chinese,9.18E+11,200
Sai Aruna,https://www.zomato.com/bangalore/sai-aruna-brookefield-bangalore,"Hyderabadi, North Indian, Biryani, Beverages, Chinese",9.18E+11,250
South Indian Meals,https://www.zomato.com/bangalore/south-indian-meals-marathahalli-bangalore,South Indian,9.18E+11,250
God Of Tandoors,https://www.zomato.com/bangalore/god-of-tandoors-kadubeesanahalli-bangalore,"North Indian, Biryani, Mughlai, Fast Food, Kebab, Desserts",9.20E+11,200
Karim's - Original From Delhi 6 Jama Masjid,https://www.zomato.com/bangalore/karims-original-from-delhi-6-jama-masjid-marathahalli-bangalore,"Mughlai, North Indian, Rolls, Desserts, Beverages",9.16E+11,1000
Khadhar Dum Biryani,https://www.zomato.com/bangalore/khadhar-dum-biryani-kaggadasapura-bangalore,"Biryani, North Indian, Fast Food",9.20E+11,400
Swapnapuri  Bengali Restaurant,https://www.zomato.com/bangalore/swapnapuri-bengali-restaurant-brookefield-bangalore,"North Indian, Bengali, Chinese, Mughlai, Seafood",9.20E+11,400
Toscano's Crafted Cakes & Desserts,https://www.zomato.com/bangalore/toscanos-crafted-cakes-desserts-whitefield-bangalore,"Desserts, Bakery",9.18E+11,300
The Bong Tikka Connection,https://www.zomato.com/bangalore/the-bong-tikka-connection-whitefield-bangalore,"Bengali, North Indian",9.20E+11,400
Yo Snacko,https://www.zomato.com/bangalore/yo-snacko-kaggadasapura-bangalore,"Burger, Fast Food, Beverages, Shake",9.19E+11,250
Iyengars Bread Basket,https://www.zomato.com/bangalore/iyengars-bread-basket-brookefield-bangalore,"Bakery, Desserts, Fast Food",9.18E+11,100
Khane Ka Khazana,https://www.zomato.com/bangalore/khane-ka-khazana-marathahalli-bangalore,"North Indian, Rolls, Fast Food",9.18E+11,300
Momo's Corner,https://www.zomato.com/bangalore/momos-corner-indiranagar-bangalore,"Rolls, Chinese, Momos",9.19E+11,300
Jade,https://www.zomato.com/bangalore/jade-varthur-main-road-whitefield-bangalore,"Chinese, Seafood",9.18E+11,750
UTHRA,https://www.zomato.com/bangalore/uthra-indiranagar-bangalore,North Indian,9.19E+11,800
Jhanhavi Restaurant,https://www.zomato.com/bangalore/jhanhavi-restaurant-marathahalli,"North Indian, Chinese, South Indian, Biryani, Shake",9.19E+11,400
Yauatcha,https://www.zomato.com/bangalore/yauatcha-mg-road,"Chinese, Asian, Seafood",9.19E+11,2000
World On A Swirl,https://www.zomato.com/bangalore/world-on-a-swirl-indiranagar-bangalore,"Ice Cream, Desserts, Momos, Beverages",9.20E+11,200
Rekha Restaurant,https://www.zomato.com/bangalore/rekha-restaurant-brookefield,"North Indian, Chinese, Kerala, Beverages",9.20E+11,400
Infinitea Tea Room & Tea Store,https://www.zomato.com/bangalore/infinitea-tea-room-tea-store-indiranagar-bangalore,"Italian, European, Healthy Food, Seafood, Desserts, Tea, Shake",9.18E+11,1300
Chili's American Grill & Bar,https://www.zomato.com/bangalore/chilis-american-grill-bar-bellandur,"American, Tex-Mex, Burger, BBQ, Beverages",9.19E+11,2000
Morning Vibes,https://www.zomato.com/bangalore/morning-vibes-marathahalli-bangalore,North Indian,9.18E+11,100
HOMMS,https://www.zomato.com/bangalore/homms-brookefield-bangalore,"Thai, Chinese, Momos",9.20E+11,500
Sonar Bangla,https://www.zomato.com/bangalore/sonar-bangla-varthur-main-road-whitefield-bangalore,"Chinese, Bengali",9.17E+11,500
T4Chai,https://www.zomato.com/bangalore/t4chai-1-marathahalli-bangalore,"Street Food, Fast Food, Beverages, Sandwich",9.16E+11,300
Dhaba Downtown,https://www.zomato.com/bangalore/dhaba-downtown-whitefield-bangalore,"North Indian, Chinese",9.16E+11,250
Skoosh Bubble Tea,https://www.zomato.com/bangalore/skoosh-bubble-tea-marathahalli-bangalore,Beverages,9.18E+11,100
Dal Roti,https://www.zomato.com/bangalore/dal-roti-bellandur-bangalore,North Indian,9.20E+11,100
Ohh Kolkata,https://www.zomato.com/bangalore/ohh-kolkata-brookefield-bangalore,Bengali,9.19E+11,300
US Pizza,https://www.zomato.com/bangalore/us-pizza-brookefield-bangalore,"Pizza, Pasta, Fast Food, Desserts, Beverages",9.20E+11,50
Lotus Hotel,https://www.zomato.com/bangalore/lotus-hotel-marathahalli-bangalore,"Korean, Momos, Rolls",9.20E+11,350
"Thalis, Bowls & More",https://www.zomato.com/bangalore/thalis-bowls-more-marathahalli-bangalore,"North Indian, Momos, Rolls, Pizza, Beverages",9.18E+11,250
Litti House,https://www.zomato.com/bangalore/litti-house-marathahalli-bangalore,"North Indian, Bihari, Beverages",9.19E+11,600
Bakery By Foodhall,https://www.zomato.com/bangalore/bakery-by-foodhall-mg-road-bangalore,"Bakery, Desserts, Panini, Mexican, American",9.17E+11,150
QB's Restaurant,https://www.zomato.com/bangalore/qbs-restaurant-kaggadasapura-bangalore,"South Indian, Chinese, Biryani",9.20E+11,300
The Twenty Handmade Chocolates,https://www.zomato.com/bangalore/the-twenty-handmade-chocolates-marathahalli-bangalore,Desserts,9.20E+11,200
Yo! Chow,https://www.zomato.com/bangalore/yo-chow-marathahalli-bangalore,"Asian, Chinese, Beverages, Desserts",9.18E+11,1200
Kelvin Scale - Natural Ice Creams and Waffle,https://www.zomato.com/bangalore/kelvin-scale-natural-ice-creams-and-waffle-marathahalli-bangalore,"Desserts, Ice Cream, Beverages, Shake",9.19E+11,400
The Bangalore Creamery,https://www.zomato.com/bangalore/the-bangalore-creamery-indiranagar-bangalore,"Ice Cream, Desserts, Beverages, Shake, Waffle",9.19E+11,150
The Chaap Factory,https://www.zomato.com/bangalore/the-chaap-factory-marathahalli-bangalore,"North Indian, Chinese",9.18E+11,200
Banarasi Tadka,https://www.zomato.com/bangalore/banarasi-tadka-jeevan-bhima-nagar,"North Indian, Street Food",9.20E+11,200
Tandoor Box,https://www.zomato.com/bangalore/tandoor-box-whitefield,"Fast Food, North Indian, Rolls",9.18E+11,250
Waffle Magic,https://www.zomato.com/bangalore/waffle-magic-indiranagar,"Fast Food, Desserts, Sandwich, Shake, Beverages",9.19E+11,500
Chiness Food Corner(CFC),https://www.zomato.com/bangalore/chiness-food-corner-cfc-brookefield-bangalore,Chinese,9.18E+11,250
Mani's Hyderabadi Biryani,https://www.zomato.com/bangalore/manis-hyderabadi-biryani-marathahalli-bangalore,"Biryani, North Indian, Chinese",9.19E+11,400
Udupi Spice ,https://www.zomato.com/bangalore/udupi-spice-marathahalli-bangalore,"North Indian, Mughlai, Chinese, Momos, Biryani",9.18E+11,250
Harvi's Creamistry,https://www.zomato.com/bangalore/harvis-creamistry-kadubeesanahalli-bangalore,Beverages,9.20E+11,300
Reddy's Veg & Non Veg,https://www.zomato.com/bangalore/reddys-veg-non-veg-marathahalli-bangalore,"South Indian, Chinese",9.20E+11,150
Millet Express,https://www.zomato.com/bangalore/millet-express-bellandur-bangalore,"South Indian, Street Food, North Indian, Biryani, Juices",9.20E+11,100
Sri Gokulam Hot Chips,https://www.zomato.com/bangalore/sri-gokulam-hot-chips-kaggadasapura-bangalore,Street Food,9.20E+11,100
Kosta Spice - Tiffin | Meals | Tea | Snacks,https://www.zomato.com/bangalore/kosta-spice-tiffin-meals-tea-snacks-bellandur-bangalore,"Biryani, South Indian, Andhra, Chinese, North Indian",9.20E+11,350
Relish Cafe,https://www.zomato.com/bangalore/relish-cafe-kadubeesanahalli-bangalore,"North Indian, Chinese, Street Food, Desserts",9.19E+11,250
Rd Ambur Hot Dum Biryani,https://www.zomato.com/bangalore/rd-ambur-hot-dum-biryani-cv-raman-nagar-bangalore,Biryani,9.19E+11,300
2 Scoops Of Happiness ,https://www.zomato.com/bangalore/2-scoops-of-happiness-1-cv-raman-nagar-bangalore,"Desserts, Ice Cream, Beverages, Fast Food, Shake",9.18E+11,300
Meal@79,https://www.zomato.com/bangalore/meal@79-brookefield-bangalore,"North Indian, Chinese",9.18E+11,250
Sabari Cafe,https://www.zomato.com/bangalore/sabari-cafe-jeevan-bhima-nagar-bangalore,"Burger, Fast Food, Beverages, Shake",9.19E+11,300
Cafe Biryani,https://www.zomato.com/bangalore/cafe-biryani-1-marathahalli-bangalore,Biryani,9.18E+11,150
Aromas Of China,https://www.zomato.com/bangalore/aromas-of-china-marathahalli-bangalore,Chinese,9.18E+11,250
Kaaapi Central,https://www.zomato.com/bangalore/kaaapi-central-whitefield-bangalore,"Street Food, Sandwich, Desserts, Beverages",9.19E+11,100
Hyderabadi Bawarchi,https://www.zomato.com/bangalore/hyderabadi-bawarchi-marathahalli-bangalore,"Biryani, Kebab, Hyderabadi",9.20E+11,250
Bologna,https://www.zomato.com/bangalore/bologna-indiranagar-bangalore,"Italian, Desserts, Beverages",9.18E+11,1600
S S Popular Frozen Stone,https://www.zomato.com/bangalore/s-s-popular-frozen-stone-bellandur-bangalore,"Beverages, Ice Cream, Sandwich, Fast Food, Shake",9.19E+11,250
The Pallet,https://www.zomato.com/bangalore/the-pallet-2-whitefield-bangalore,"Finger Food, North Indian, Continental, Chinese, Italian, Beverages, Bar Food",080 47483187,1600
Bismillah Hotel,https://www.zomato.com/bangalore/bismillah-hotel-kaggadasapura-bangalore,South Indian,9.19E+11,200
Ghar Da Swaad,https://www.zomato.com/bangalore/ghar-da-swaad-bellandur-bangalore,"North Indian, Chinese",9.19E+11,150
Vijay Kitchen,https://www.zomato.com/bangalore/vijay-kitchen-brookefield-bangalore,"Andhra, Chinese, Biryani, Mughlai, Seafood, North Indian, South Indian",9.16E+11,400
Qissa ,https://www.zomato.com/bangalore/qissa-indiranagar-bangalore,"Arabian, Fast Food, Desserts, Beverages",9.20E+11,600
Heaven Darjeeling,https://www.zomato.com/bangalore/heaven-darjeeling-cv-raman-nagar-bangalore,Chinese,9.20E+11,300
Vinayaka Sugar Cane Fresh Juices & Sandwiches,https://www.zomato.com/bangalore/vinayaka-sugar-cane-fresh-juices-sandwiches-kadubeesanahalli-bangalore,"Beverages, Sandwich, Fast Food, Shake",9.19E+11,100
Khichdi Kahani,https://www.zomato.com/bangalore/khichdi-kahani-marathahalli-bangalore,"North Indian, Desserts",9.20E+11,300
Sai Foods,https://www.zomato.com/bangalore/sai-foods-brookefield,"North Indian, Chinese, Fast Food, Street Food, Beverages, Desserts",9.20E+11,400
Shri Venkateshwra Fsat Food Center,https://www.zomato.com/bangalore/shri-venkateshwra-fsat-food-center-brookefield-bangalore,"Biryani, Chinese",9.19E+11,100
Ambur Hot Dum Biryani,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-3-marathahalli-bangalore,"Biryani, South Indian",9.19E+11,150
Oota Bangalore,https://www.zomato.com/bangalore/oota-bangalore-whitefield,"Mangalorean, South Indian",9.19E+11,1800
Eddy's Cafe,https://www.zomato.com/bangalore/eddys-cafe-indiranagar-bangalore,"Cafe, American, Salad, Continental, Healthy Food, Italian",9.16E+11,800
Wok Steam & Grills,https://www.zomato.com/bangalore/wok-steam-grills-marathahalli,"Chinese, Fast Food",9.19E+11,200
U.S. Pizza Restaurant,https://www.zomato.com/bangalore/u-s-pizza-restaurant-airport-road-bangalore,"Pizza, Fast Food, Beverages, Desserts",9.19E+11,600
Happy Endings,https://www.zomato.com/bangalore/happy-endings-bellandur,"Bakery, Desserts, Pasta",9.20E+11,100
Delhi Walle,https://www.zomato.com/bangalore/delhi-walle-marathahalli,"North Indian, Street Food, Chinese, Desserts, Beverages",9.19E+11,400
Kund Indian Barbeque,https://www.zomato.com/bangalore/kund-indian-barbeque-indiranagar,"North Indian, Mughlai, Kebab",9.18E+11,900
Sant̩ Spa Cuisine,https://www.zomato.com/bangalore/sant̩-spa-cuisine-domlur-bangalore,"Mediterranean, Italian, European, Desserts, Beverages, Shake",9.19E+11,1500
Spice Cuisine Family Restaurant,https://www.zomato.com/bangalore/spice-cuisine-family-restaurant-marathahalli-bangalore,"Biryani, Chinese, Andhra, North Indian",9.17E+11,300
Ocean Cake,https://www.zomato.com/bangalore/ocean-cake-whitefield-bangalore,"Bakery, Shake",9.18E+11,300
Andhra Meals,https://www.zomato.com/bangalore/andhra-meals-marathahalli-bangalore,Andhra,9.18E+11,200
Anandha Biryani House,https://www.zomato.com/bangalore/anandha-biryani-house-kadubeesanahalli-bangalore,"Biryani, Andhra",9.19E+11,350
Juice Therapy,https://www.zomato.com/bangalore/juice-therapy-domlur-bangalore,"Juices, Beverages, Desserts",9.20E+11,200
Donburi,https://www.zomato.com/bangalore/donburi-marathahalli-bangalore,"Chinese, Fast Food",9.18E+11,250
Delhi To Hotel,https://www.zomato.com/bangalore/delhi-to-hotel-marathahalli-bangalore,"North Indian, Chinese",9.18E+11,350
Sargam Sweets,https://www.zomato.com/bangalore/sargam-sweets-1-marathahalli-bangalore,"Mithai, Street Food",9.20E+11,200
Fabcafe By Fabindia,https://www.zomato.com/bangalore/fabcafe-by-fabindia-sarjapur-road-bangalore,"Healthy Food, North Indian, Wraps, Beverages, Salad, Shake",9.17E+11,1000
Anjarai Petti,https://www.zomato.com/bangalore/anjarai-petti-marathahalli-bangalore,"South Indian, Chinese, Biryani, Tamil",9.17E+11,400
Pavratha,https://www.zomato.com/bangalore/pavratha-bellandur-bangalore,"Street Food, North Indian",9.19E+11,300
Shaan-e-Punjab,https://www.zomato.com/bangalore/shaan-e-punjab-sarjapur-road-bangalore,"North Indian, Mughlai",9.20E+11,250
Broadway - The Gourmet Theatre,https://www.zomato.com/bangalore/broadway-the-gourmet-theatre-hsr,"Japanese, Sushi, Continental, Asian, North Indian, Desserts, Beverages",9.20E+11,1800
Burger Max,https://www.zomato.com/bangalore/burger-max-marathahalli-bangalore,"Fast Food, Burger",9.20E+11,100
Yum Yum Kolkata,https://www.zomato.com/bangalore/yum-yum-kolkata-1-domlur-bangalore,"Bengali, Chinese, Biryani, Fast Food",9.19E+11,200
ShakeShack,https://www.zomato.com/bangalore/shakeshack-domlur-bangalore,"Beverages, Shake, Waffle, Ice Cream, Desserts",9.19E+11,150
 Voosh Dakshin,https://www.zomato.com/bangalore/voosh-dakshin-varthur-main-road-whitefield-bangalore,South Indian,9.18E+11,150
Senorita's Mexican Kitchen by Little Italy,https://www.zomato.com/bangalore/senoritas-mexican-kitchen-by-little-italy-bellandur-bangalore,Mexican,9.18E+11,300
Peppy Paratha by Chai Point,https://www.zomato.com/bangalore/peppy-paratha-by-chai-point-kadubeesanahalli-bangalore,"North Indian, Rolls",9.18E+11,150
"Canteen Central - Burgers, Pastas And More",https://www.zomato.com/bangalore/canteen-central-burgers-pastas-and-more-indiranagar-bangalore,"Burger, Pasta",9.18E+11,100
Roti Express,https://www.zomato.com/bangalore/roti-express-marathahalli-bangalore,"North Indian, Chinese, Beverages",9.20E+11,250
7 Days Restaurants,https://www.zomato.com/bangalore/7-days-restaurants-marathahalli-bangalore,"North Indian, Chinese, Mughlai, Biryani",9.18E+11,200
Cake Hopper,https://www.zomato.com/bangalore/cake-hopper-marathahalli-bangalore,"Bakery, Beverages, Shake",9.19E+11,400
Malabar Kitchens,https://www.zomato.com/bangalore/malabar-kitchens-marathahalli-bangalore,"North Indian, Chinese, Mangalorean, Biryani",9.18E+11,250
Singh Da Dhaba,https://www.zomato.com/bangalore/singh-da-dhaba-bellandur-bangalore,"North Indian, Chinese",9.20E+11,150
Isiri Restobar,https://www.zomato.com/bangalore/isiri-restobar-marathahalli-bangalore,"North Indian, Andhra, Continental, Seafood, Mangalorean",9.18E+11,1500
Rotti Mane,https://www.zomato.com/bangalore/rotti-mane-bellandur-bangalore,South Indian,9.20E+11,300
Aurum Brew Works,https://www.zomato.com/bangalore/aurum-brew-works-sarjapur-road-bangalore,"North Indian, American, Continental, Desserts, Beverages, Asian, Pizza, Burger",9.18E+11,1500
Nizam's Biryani ,https://www.zomato.com/bangalore/nizams-biryani-marathahalli-bangalore,"Biryani, Kebab",9.18E+11,300
Tez Patta,https://www.zomato.com/bangalore/tez-patta-1-bellandur-bangalore,"North Indian, Biryani",9.19E+11,250
Coast N Kebabs,https://www.zomato.com/bangalore/coast-n-kebabs-jeevan-bhima-nagar-bangalore,"Seafood, Mughlai, North Indian, Biryani",9.18E+11,500
BigBites,https://www.zomato.com/bangalore/bigbites-1-marathahalli-bangalore,"Fast Food, Street Food, Momos, Pizza",9.18E+11,200
Hotel Green Chicken Biryani,https://www.zomato.com/bangalore/hotel-green-chicken-biryani-kr-puram-bangalore,Biryani,9.18E+11,100
New Athidhi Grand ,https://www.zomato.com/bangalore/new-athidhi-grand-1-kadubeesanahalli-bangalore,"Biryani, Andhra, Chinese, North Indian",9.20E+11,200
Sanatani,https://www.zomato.com/bangalore/sanatani-marathahalli-bangalore,Bengali,9.20E+11,100
Momo Point,https://www.zomato.com/bangalore/momo-point-1-indiranagar-bangalore,"Chinese, Momos",9.20E+11,150
Sri Vishnu Palace,https://www.zomato.com/bangalore/sri-vishnu-palace-marathahalli-bangalore,"North Indian, South Indian, Chinese, Beverages, Desserts, Street Food, Ice Cream, Shake",9.18E+11,450
Aahar Quick Bites,https://www.zomato.com/bangalore/aahar-quick-bites-cv-raman-nagar-bangalore,"Fast Food, Chinese, North Indian",9.19E+11,150
The Cake Street ,https://www.zomato.com/bangalore/the-cake-street-kadubeesanahalli-bangalore,"Bakery, Desserts, Beverages, Shake",9.17E+11,350
Seven Days Biryani,https://www.zomato.com/bangalore/seven-days-biryani-marathahalli-bangalore,"Mughlai, North Indian, Biryani, Seafood, Chinese, Ice Cream, Juices, Beverages",9.19E+11,250
Marigold Fine Dine Restaurant,https://www.zomato.com/bangalore/marigold-fine-dine-restaurant-whitefield,"Continental, Chinese, North Indian, Seafood, Mughlai, Biryani, Desserts, Beverages",9.18E+11,1500
Passport Of Bejing,https://www.zomato.com/bangalore/passport-of-bejing-kadubeesanahalli-bangalore,"Chinese, Momos",9.16E+11,150
Art Of Dum,https://www.zomato.com/bangalore/art-of-dum-indiranagar-bangalore,"North Indian, Biryani, Desserts",9.17E+11,450
Mahi Food Corner,https://www.zomato.com/bangalore/mahi-food-corner-2-airport-road-bangalore,"North Indian, Street Food, Fast Food",9.19E+11,100
Curry Point's,https://www.zomato.com/bangalore/curry-points-marathahalli-bangalore,"North Indian, Mughlai",9.18E+11,150
Yummy Momos,https://www.zomato.com/bangalore/yummy-momos-kaggadasapura-bangalore,"Momos, Chinese, Seafood",9.20E+11,100
Chettinad  House,https://www.zomato.com/bangalore/chettinad-house-marathahalli-bangalore,"North Indian, Biryani, Chinese, Chettinad",9.18E+11,250
The Burrito Company,https://www.zomato.com/bangalore/the-burrito-company-brookefield-bangalore,"Mexican, Beverages",9.18E+11,200
Khati Point,https://www.zomato.com/bangalore/khati-point-marathahalli-bangalore,"North Indian, Chinese, Bihari, Biryani, Lebanese, Fast Food, Street Food, Beverages",9.19E+11,200
Litti Bhandar,https://www.zomato.com/bangalore/litti-bhandar-marathahalli-bangalore,North Indian,9.18E+11,150
